top - 23:30:41 up  7:42,  1 user,  load average: 0.40, 0.45, 0.43
Tasks: 350 total,   1 running, 348 sleeping,   0 stopped,   1 zombie
%Cpu(s):  2.5 us,  2.0 sy,  0.5 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15736.3 total,   9436.6 free,   2759.0 used,   3540.7 buff/cache
MiB Swap:   9537.0 total,   9537.0 free,      0.0 used.  11643.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  23256 hitcrt    20   0 2476316 125508  98484 S   0.0   0.8   0:02.45 Privile+
  23308 hitcrt    20   0 2453528 104168  84620 S   0.0   0.6   0:00.35 WebExte+
  23359 hitcrt    20   0 3284216 502192 146300 S   0.0   3.1   4:32.30 Isolate+
  23366 hitcrt    20   0 2432476  94344  82076 S   0.0   0.6   0:00.21 Isolate+
  24501 hitcrt    20   0  484576  97048  77076 S   0.0   0.6   0:01.84 RDD Pro+
  24503 hitcrt    20   0  331472  54292  43096 S   0.0   0.3   0:01.73 Utility+
  24856 root      20   0       0      0      0 I   0.0   0.0   0:01.17 kworker+
  24890 root       0 -20       0      0      0 I   0.0   0.0   0:04.32 kworker+
  25245 hitcrt    20   0 1131.0g 136192 108796 S   0.0   0.8   0:00.59 chrome
  25330 hitcrt    20   0 1131.1g 190688 133628 S   0.0   1.2   0:31.28 chrome
  25526 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker+
  25530 hitcrt    20   0 1131.0g 182360 131156 S   0.0   1.1   0:05.79 chrome
  25760 root      20   0       0      0      0 I   0.0   0.0   0:00.30 kworker+
  25897 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
  25924 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
  26765 hitcrt    20   0  863444  55816  42836 S   0.0   0.3   0:02.05 gnome-t+
  26773 hitcrt    20   0   19520   5228   3584 S   0.0   0.0   0:00.02 bash
  26808 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker+
  26812 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  26826 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
  26827 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
  26831 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  26859 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker+
  26860 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  26898 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  26951 hitcrt    20   0 2591376 181664 118696 S   0.0   1.1   0:04.21 Isolate+
  26979 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  26980 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27067 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27068 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27073 hitcrt    20   0 2418620  77168  65816 S   0.0   0.5   0:00.13 Web Con+
  27104 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27115 hitcrt    20   0 2418620  77204  65864 S   0.0   0.5   0:00.05 Web Con+
  27145 hitcrt    20   0 2418620  76612  65252 S   0.0   0.5   0:00.07 Web Con+
  27178 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27180 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27222 hitcrt    20   0   40.3g  44460  32404 S   0.0   0.3   0:00.02 chrome
  27259 hitcrt    20   0 1131.0g 221464 119132 S   0.0   1.4   0:06.95 chrome
  27276 hitcrt    20   0 1131.0g 140532 109704 S   0.0   0.9   0:01.20 chrome
  27296 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27309 hitcrt    20   0 1131.0g 163024 116108 S   0.0   1.0   0:02.18 chrome
  27317 hitcrt    20   0 1130.9g  63728  49452 S   0.0   0.4   0:00.00 chrome
  27379 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  27391 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  27401 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27406 hitcrt    20   0  443544  29284  16584 S   0.0   0.2   0:00.22 tracker+
  27437 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27486 hitcrt    20   0    2616    592    524 S   0.0   0.0   0:00.00 sh
  27488 hitcrt    20   0   20616   3908   3260 R   0.0   0.0   0:00.01 top
