top - 23:30:41 up  7:42,  1 user,  load average: 0.40, 0.45, 0.43
Tasks: 350 total,   1 running, 348 sleeping,   0 stopped,   1 zombie
%Cpu(s):  2.5 us,  2.0 sy,  0.5 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15736.3 total,   9436.6 free,   2759.0 used,   3540.7 buff/cache
MiB Swap:   9537.0 total,   9537.0 free,      0.0 used.  11643.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     88 root      20   0       0      0      0 S   0.0   0.0   0:00.05 khungta+
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     91 root      20   0       0      0      0 S   0.0   0.0   0:01.00 kcompac+
     92 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     93 root      39  19       0      0      0 S   0.0   0.0   0:00.15 khugepa+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    146 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    147 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    148 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    151 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
    156 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    157 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    159 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    170 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    171 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    172 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.45 kworker+
    258 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    259 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
    260 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
    261 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    263 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    265 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    266 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    267 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    268 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    276 root     -51   0       0      0      0 S   0.0   0.0   0:08.39 irq/108+
    283 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker+
    310 root       0 -20       0      0      0 I   0.0   0.0   0:02.84 kworker+
    312 root      20   0       0      0      0 S   0.0   0.0   0:00.23 jbd2/nv+
    313 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    317 root       0 -20       0      0      0 I   0.0   0.0   0:01.13 kworker+
    319 root       0 -20       0      0      0 I   0.0   0.0   0:00.39 kworker+
    351 root       0 -20       0      0      0 I   0.0   0.0   0:00.23 kworker+
    354 root       0 -20       0      0      0 I   0.0   0.0   0:01.64 kworker+
    357 root      19  -1   78800  29892  28328 S   0.0   0.2   0:01.59 systemd+
    359 root       0 -20       0      0      0 I   0.0   0.0   0:00.80 kworker+
    364 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker+
    375 root       0 -20       0      0      0 I   0.0   0.0   0:00.29 kworker+
    384 root       0 -20       0      0      0 I   0.0   0.0   0:02.15 kworker+
    396 root      20   0   25144   7784   3992 S   0.0   0.0   0:00.38 systemd+
    481 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    500 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/142+
    522 root     -51   0       0      0      0 S   0.0   0.0   0:05.68 irq/143+
    523 root     -51   0       0      0      0 S   0.0   0.0   0:00.86 irq/144+
    524 root     -51   0       0      0      0 S   0.0   0.0   0:00.99 irq/145+
    525 root     -51   0       0      0      0 S   0.0   0.0   0:00.94 irq/146+
    526 root     -51   0       0      0      0 S   0.0   0.0   0:00.92 irq/147+
    527 root     -51   0       0      0      0 S   0.0   0.0   0:00.82 irq/148+
    528 root     -51   0       0      0      0 S   0.0   0.0   0:00.80 irq/149+
    529 root     -51   0       0      0      0 S   0.0   0.0   0:01.11 irq/150+
    530 root     -51   0       0      0      0 S   0.0   0.0   0:00.77 irq/151+
    531 root     -51   0       0      0      0 S   0.0   0.0   0:00.76 irq/152+
    532 root     -51   0       0      0      0 S   0.0   0.0   0:01.18 irq/153+
    533 root     -51   0       0      0      0 S   0.0   0.0   0:00.90 irq/154+
    534 root     -51   0       0      0      0 S   0.0   0.0   0:00.86 irq/155+
    535 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/156+
    544 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    576 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    577 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    578 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    579 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    599 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvkm-di+
    602 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    603 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    604 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    605 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    783 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nv+
    784 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    786 root      20   0       0      0      0 S   0.0   0.0   0:01.96 jbd2/nv+
    787 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    813 systemd+  20   0   24956  13444   9240 S   0.0   0.1   0:02.53 systemd+
